
12/05	NaN	      Nifty 50	      10869.50	      10820.45	      10821.05	      10747.95	      10782.90	         -86.6
12/06	NaN	      Nifty 50	      10782.90	      10718.15	      10722.65	      10588.25	      10601.15	       -181.75
12/07	NaN	      Nifty 50	      10601.15	      10644.80	      10704.55	      10599.35	      10693.70	         92.55
12/10	NaN	      Nifty 50	      10693.70	      10508.70	      10558.85	      10474.95	      10488.45	       -205.25
12/11	NaN	      Nifty 50	      10488.45	      10350.05	      10567.15	      10333.85	      10549.15	          60.7
12/12	NaN	      Nifty 50	      10549.15	      10591.00	      10752.20	      10560.80	      10737.60	        188.45
12/13	NaN	      Nifty 50	      10737.60	      10810.75	      10838.60	      10749.50	      10791.55	         53.95
12/14	NaN	      Nifty 50	      10791.55	      10784.50	      10815.75	      10752.10	      10805.45	          13.9
12/17	NaN	      Nifty 50	      10805.45	      10853.20	      10900.35	      10844.85	      10888.35	          82.9
12/18	NaN	      Nifty 50	      10888.35	      10850.90	      10915.40	      10819.10	      10908.70	         20.35
12/19	NaN	      Nifty 50	      10908.70	      10930.55	      10985.15	      10928.00	      10967.30	          58.6
12/20	NaN	      Nifty 50	      10967.30	      10885.20	      10962.55	      10880.05	      10951.70	         -15.6
12/21	NaN	      Nifty 50	      10951.70	      10944.25	      10963.65	      10738.65	      10754.00	        -197.7
12/24	NaN	      Nifty 50	      10754.00	      10780.90	      10782.30	      10649.25	      10663.50	         -90.5
12/26	NaN	      Nifty 50	      10663.50	      10635.45	      10747.50	      10534.55	      10729.85	         66.35
12/27	NaN	      Nifty 50	      10729.85	      10817.90	      10834.20	      10764.45	      10779.80	         49.95
12/28	NaN	      Nifty 50	      10779.80	      10820.95	      10893.60	      10817.15	      10859.90	          80.1
12/31	NaN	      Nifty 50	      10859.90	      10913.20	      10923.55	      10853.20	      10862.55	          2.65
