
05/11	VEDL	            EQ	        286.95	        279.70	          2.59
05/11	IBULHSGFIN	            EQ	       1239.95	       1208.65	          2.59
05/11	BPCL	            EQ	        399.30	        390.20	          2.33

05/14	NTPC	            EQ	        171.65	        167.45	          2.51
05/14	DRREDDY	            EQ	       2017.75	       1990.50	          1.37
05/14	SBIN	            EQ	        253.60	        250.35	           1.3
05/14	BPCL	            EQ	        404.20	        399.30	          1.23
05/14	INDUSINDBK	            EQ	       1915.00	       1894.25	           1.1

05/15	TATASTEEL	            EQ	        625.95	        610.35	          2.56
05/15	POWERGRID	            EQ	        213.85	        209.05	           2.3
05/15	BAJFINANCE	            EQ	       1901.95	       1864.50	          2.01
05/15	TCS	            EQ	       3482.40	       3433.55	          1.42
05/15	ASIANPAINT	            EQ	       1314.65	       1297.35	          1.33

05/16	HINDUNILVR	            EQ	       1574.10	       1515.50	          3.87
05/16	LUPIN	            EQ	        766.50	        750.80	          2.09
05/16	ITC	            EQ	        285.85	        281.85	          1.42
05/16	WIPRO	            EQ	        274.70	        271.00	          1.37
05/16	YESBANK	            EQ	        349.75	        345.75	          1.16

05/17	BAJFINANCE	            EQ	       2066.50	       1919.95	          7.63
05/17	BAJAJFINSV	            EQ	       5569.25	       5319.20	           4.7
05/17	COALINDIA	            EQ	        271.50	        263.50	          3.04
05/17	INFRATEL	            EQ	        321.75	        315.20	          2.08
05/17	SUNPHARMA	            EQ	        479.85	        471.70	          1.73

05/18	BAJFINANCE	            EQ	       2149.65	       2066.50	          4.02
05/18	BAJAJFINSV	            EQ	       5729.80	       5569.25	          2.88
05/18	TECHM	            EQ	        692.95	        675.80	          2.54
05/18	HINDUNILVR	            EQ	       1605.80	       1569.80	          2.29
05/18	KOTAKBANK	            EQ	       1294.40	       1270.70	          1.87

05/21	SBIN	            EQ	        244.45	        238.85	          2.34
05/21	BPCL	            EQ	        393.85	        386.35	          1.94
05/21	INFRATEL	            EQ	        321.70	        316.15	          1.76
05/21	TCS	            EQ	       3556.75	       3502.05	          1.56
05/21	COALINDIA	            EQ	        270.25	        266.80	          1.29

05/22	DRREDDY	            EQ	       2009.60	       1893.05	          6.16
05/22	BAJAJFINSV	            EQ	       5971.80	       5722.05	          4.36
05/22	TATAMOTORS	            EQ	        307.70	        295.90	          3.99
